"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainPhi) []","dB(GainTheta) []"
0.914,45,106,-17.0055318854235,-14.838385087731
0.914,45,108,-17.4957272234781,-14.4910607555361
0.914,45,110,-18.0043025425792,-14.2169257297733
0.914,45,112,-18.5332970928115,-14.0108763370502
0.914,45,114,-19.0849086747339,-13.8695389395726
0.914,45,116,-19.6614693372783,-13.7909750681588
0.914,45,118,-20.2653952105171,-13.7744620863248
0.914,45,120,-20.8990919665272,-13.8203224765388
0.914,45,122,-21.564785191565,-13.92977418002
0.914,45,124,-22.264225211532,-14.1047673849393
0.914,45,126,-22.9981849596118,-14.3477553596096
0.914,45,128,-23.7656240393788,-14.6613103378849
0.914,45,130,-24.5623349721812,-15.0474255816721
0.914,45,132,-25.3788448794657,-15.5062180018293
0.914,45,134,-26.1974102410699,-16.0335341011758
0.914,45,136,-26.9883494477263,-16.6166745179028
0.914,45,138,-27.7071126721633,-17.2273084422167
0.914,45,140,-28.2955472837134,-17.8115766762177
0.914,45,142,-28.69218428146,-18.2816949631044
0.914,45,144,-28.8525073111264,-18.5227231904051
0.914,45,146,-28.7692347504025,-18.4318863254932
0.914,45,148,-28.4764737651813,-17.9780625175625
0.914,45,150,-28.0339354443432,-17.2239932869738
0.914,45,152,-27.5048267242097,-16.2841578939602
0.914,45,154,-26.9413750127959,-15.2674031588785
0.914,45,156,-26.3806479011164,-14.2500088837573
0.914,45,158,-25.8464141502446,-13.2763631938722
0.914,45,160,-25.3527933559949,-12.3688432393848
0.914,45,162,-24.9075896696022,-11.536864542323
0.914,45,164,-24.5147353518192,-10.7828638538871
0.914,45,166,-24.1759101189257,-10.1057723273952
0.914,45,168,-23.8915590552466,-9.50290658857203
0.914,45,170,-23.66151300488,-8.9709571934376
0.914,45,172,-23.4853579760425,-8.50648435138079
0.914,45,174,-23.3626486795268,-8.1061503954881
0.914,45,176,-23.2930243879863,-7.76681353799944
0.914,45,178,-23.276260645384,-7.48554960685785
0.914,45,180,-23.3122739149006,-7.25963723592035
0.914,135,-180,-7.25963723592035,-23.3122739149006
0.914,135,-178,-7.35523998860347,-24.3090205176148
0.914,135,-176,-7.49486129033001,-25.5022636848839
0.914,135,-174,-7.67911823543268,-26.9335801697888
0.914,135,-172,-7.90897838877196,-28.6455778240051
0.914,135,-170,-8.18579768670155,-30.6368174296788
0.914,135,-168,-8.51137237244539,-32.6719885355104
0.914,135,-166,-8.88800790388727,-33.8483962894266
0.914,135,-164,-9.3186085853263,-33.1162639136194
0.914,135,-162,-9.80679223808455,-31.1349740945341
0.914,135,-160,-10.3570339330953,-29.016080070472
0.914,135,-158,-10.9748401398491,-27.1439013310642
0.914,135,-156,-11.6669458489753,-25.5568299631606
0.914,135,-154,-12.4415030443819,-24.2162000958607
0.914,135,-152,-13.3081662316969,-23.0775207135508
0.914,135,-150,-14.2778210593987,-22.104028117848
