"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainPhi) []","dB(GainTheta) []"
0.914,90.0000000000002,-88,-4.68599367313973,-12.9380640505834
0.914,90.0000000000002,-86,-4.36129789051423,-12.870406859061
0.914,90.0000000000002,-84,-4.02792837587846,-12.794140631975
0.914,90.0000000000002,-82,-3.68610647646889,-12.7105385435423
0.914,90.0000000000002,-80,-3.33627619716998,-12.6210381261528
0.914,90.0000000000002,-78,-2.97907659053083,-12.5272066294059
0.914,90.0000000000002,-76,-2.61531060443078,-12.4307089829182
0.914,90.0000000000002,-74,-2.24591230830935,-12.3332797669824
0.914,90.0000000000002,-72,-1.87191428344182,-12.236700106283
0.914,90.0000000000002,-70,-1.49441668950198,-12.142779952826
0.914,90.0000000000002,-68,-1.11455916236793,-12.0533458566516
0.914,90.0000000000002,-66,-0.733496311912534,-11.9702340566115
0.914,90.0000000000002,-64,-0.35237722016377,-11.8952885607901
0.914,90.0000000000002,-62,0.0276709772839887,-11.8303638178535
0.914,90.0000000000002,-60,0.405555592464763,-11.7773315921017
0.914,90.0000000000002,-58,0.780227310020378,-11.7380917312098
0.914,90.0000000000002,-56,1.15068598417154,-11.7145866445584
0.914,90.0000000000002,-54,1.5159838056012,-11.708819484988
0.914,90.0000000000002,-52,1.87522634197182,-11.7228762478186
0.914,90.0000000000002,-50,2.22757193095793,-11.7589522760877
0.914,90.0000000000002,-48,2.57222986078525,-11.8193840078038
0.914,90.0000000000002,-46,2.90845771949957,-11.9066872496912
0.914,90.0000000000002,-44,3.23555823719807,-12.0236038601201
0.914,90.0000000000002,-42,3.5528758896342,-12.1731595459706
0.914,90.0000000000002,-40,3.85979347953236,-12.3587366406581
0.914,90.0000000000002,-38,4.15572886487097,-12.5841674196804
0.914,90.0000000000002,-36,4.44013196168258,-12.8538560302826
0.914,90.0000000000002,-34,4.71248211243568,-13.1729409741177
0.914,90.0000000000002,-32,4.97228587941698,-13.5475161689573
0.914,90.0000000000002,-30,5.21907529527633,-13.9849385034267
0.914,90.0000000000002,-28,5.45240657961727,-14.4942664051143
0.914,90.0000000000002,-26,5.67185931088712,-15.0869028996505
0.914,90.0000000000002,-24,5.87703602660343,-15.7775693546873
0.914,90.0000000000002,-22,6.06756221197389,-16.5858370157852
0.914,90.0000000000002,-20,6.24308662708977,-17.5386484790941
0.914,90.0000000000002,-18,6.40328191595943,-18.6747089927703
0.914,90.0000000000002,-16,6.5478454365402,-20.0526965103597
0.914,90.0000000000002,-14,6.67650024941718,-21.76809919709
0.914,90.0000000000002,-12,6.78899620361357,-23.9923813358109
0.914,90.0000000000002,-10,6.88511106089829,-27.0822532119365
0.914,90.0000000000002,-8,6.96465160454853,-31.9830003496987
0.914,90.0000000000002,-6,7.02745468447554,-41.673503236568
0.914,90.0000000000002,-4,7.07338815757931,-35.2690647448752
0.914,90.0000000000002,-2,7.10235168983031,-28.7368596461557
0.914,90.0000000000002,0,7.11427739458219,-24.9682945616324
0.914,90.0000000000002,2,7.10913028974298,-22.3529975019187
0.914,90.0000000000002,4,7.08690856446289,-20.3675066379967
0.914,90.0000000000002,6,7.0476436537725,-18.7817847983602
0.914,90.0000000000002,8,6.99140012700604,-17.4748052439502
0.914,90.0000000000002,10,6.91827540278497,-16.3750983507909
0.914,90.0000000000002,12,6.82839930975781,-15.4369181473497
0.914,90.0000000000002,14,6.72193351814561,-14.6291809618719
